Company Name,Phone Number,City,Industry,Company Type,Notes,Lead Status
Möller Autoschade Schiebroek,010-2854444,Rotterdam,Automotive,Schadeherstelbedrijf,Grote keten meerdere vestigingen,New
Möller Autoschade Centrum,010-4131676,Rotterdam,Automotive,Schadeherstelbedrijf,Grote keten meerdere vestigingen,New
Möller Autoschade Kleinpolder,010-4151344,Rotterdam,Automotive,Schadeherstelbedrijf,Grote keten meerdere vestigingen,New
Möller Autoschade Spaanse Polder,010-4155444,Rotterdam,Automotive,Schadeherstelbedrijf,Grote keten meerdere vestigingen,New
FixEasy Rotterdam,010-2072400,Rotterdam,Automotive,Schadeherstelbedrijf,Onderdeel Möller groep,New
Hoogenboom Schadeherstel Rotterdam,010-4105680,Rotterdam,Automotive,Schadeherstelbedrijf,Grote speler regio Rotterdam,New
Hoogenboom Schadeherstel Spijkenisse,0181-650675,Spijkenisse,Automotive,Schadeherstelbedrijf,Onderdeel Hoogenboom,New
Dick's Autoschade Schiedam,010-4266644,Schiedam,Automotive,Schadeherstelbedrijf,,New
Dick's Autoschade Vlaardingen,010-4342525,Vlaardingen,Automotive,Schadeherstelbedrijf,,New
A.A.S. Schadeherstel Rotterdam,010-4760700,Rotterdam,Automotive,Schadeherstelbedrijf,,New
Autoschade Capelle,010-4518800,Capelle aan den IJssel,Automotive,Schadeherstelbedrijf,,New
Autoschade Ridderkerk,0180-419090,Ridderkerk,Automotive,Schadeherstelbedrijf,,New
Autoschade Dordrecht,078-6313131,Dordrecht,Automotive,Schadeherstelbedrijf,,New
Fokker Autoschade Dordrecht,078-6177777,Dordrecht,Automotive,Schadeherstelbedrijf,,New
Autoschade Barendrecht,0180-612345,Barendrecht,Automotive,Schadeherstelbedrijf,,New
Fons Autoschade,070-3910615,Den Haag,Automotive,Schadeherstelbedrijf,,New
Garage van der Heiden,070-3254207,Den Haag,Automotive,Schadeherstelbedrijf,,New
Helm Garage Den Haag,070-3460315,Den Haag,Automotive,Schadeherstelbedrijf,,New
Den Elzen Autoschadeherstellers,070-3638181,Den Haag,Automotive,Schadeherstelbedrijf,Sinds 1976,New
Autoschade Delft,015-2561234,Delft,Automotive,Schadeherstelbedrijf,,New
Autoschade Zoetermeer,079-3511500,Zoetermeer,Automotive,Schadeherstelbedrijf,,New
Autoschade Leiden,071-5121300,Leiden,Automotive,Schadeherstelbedrijf,,New
Splinter Schadeherstel,020-6312735,Amsterdam,Automotive,Schadeherstelbedrijf,60+ jaar ervaring Tesla Mazda specialist,New
Van Mossel Autoschade Amsterdam,020-6107580,Amsterdam,Automotive,Schadeherstelbedrijf,Grote keten,New
Autoservice Post Amsterdam,020-6113344,Amsterdam,Automotive,Schadeherstelbedrijf,Onafhankelijk gratis leenauto,New
Autoschade Haarlem,023-5312500,Haarlem,Automotive,Schadeherstelbedrijf,,New
Autoschade Amstelveen,020-6453000,Amstelveen,Automotive,Schadeherstelbedrijf,,New
Autoschade Zaandam,075-6170600,Zaandam,Automotive,Schadeherstelbedrijf,,New
Vakgarage Autoweerd,030-3031600,Utrecht,Automotive,Schadeherstelbedrijf,Centrum Utrecht,New
ZS Autoschadeherstel,030-2800600,Utrecht,Automotive,Schadeherstelbedrijf,,New
Autoschade Amersfoort,033-4612000,Amersfoort,Automotive,Schadeherstelbedrijf,,New
Autoschade Nieuwegein,030-6060600,Nieuwegein,Automotive,Schadeherstelbedrijf,,New
Anchor Insurance Rotterdam,010-3029800,Rotterdam,Insurance,Verzekeringsadviseur,Marine aansprakelijkheid transport,New
DUPI Rotterdam,010-7901555,Rotterdam,Insurance,Verzekeringsadviseur,Ongevallen ziekte eigendom,New
Rabobank Verzekeringen Rotterdam,010-4001234,Rotterdam,Insurance,Verzekeringsadviseur,Bank met verzekeringsdiensten,New
Aon Rotterdam,010-4488888,Rotterdam,Insurance,Verzekeringsadviseur,Grote internationale broker,New
Independer Kantoor Rotterdam,010-7999999,Rotterdam,Insurance,Verzekeringsadviseur,Vergelijkingssite met advies,New
Univé Rotterdam,010-2001000,Rotterdam,Insurance,Verzekeringsadviseur,Coöperatieve verzekeraar,New
De Goudse Rotterdam,010-4567890,Rotterdam,Insurance,Verzekeringsadviseur,,New
Hypotheker Rotterdam,010-4113000,Rotterdam,Insurance,Verzekeringsadviseur,Ook verzekeringen,New
Sixt Rotterdam,010-4621000,Rotterdam,Automotive,Autoverhuur,Grote verhuurketen schades,New
Hertz Rotterdam,010-4115400,Rotterdam,Automotive,Autoverhuur,,New
Europcar Rotterdam,010-4118200,Rotterdam,Automotive,Autoverhuur,,New
Budget Autoverhuur Rotterdam,010-4621500,Rotterdam,Automotive,Autoverhuur,,New
Enterprise Rotterdam,010-2621000,Rotterdam,Automotive,Autoverhuur,,New
Avis Rotterdam,010-4113400,Rotterdam,Automotive,Autoverhuur,,New
Rijschool Hofman Rotterdam,010-4144000,Rotterdam,Automotive,Rijschool,,New
Rijschool Linssen Rotterdam,010-4801234,Rotterdam,Automotive,Rijschool,,New
Rijschool TopDrive Den Haag,070-3456789,Den Haag,Automotive,Rijschool,,New
Rijschool Amsterdam Centraal,020-6234567,Amsterdam,Automotive,Rijschool,,New
