Company Name,Phone Number,City,Industry,Company Type,Priority,Notes,Lead Status
Möller Autoschade Schiebroek,010-2854444,Rotterdam,Automotive,Schadeherstelbedrijf,HIGH,Grote keten 5 vestigingen,New
Möller Autoschade Centrum,010-4131676,Rotterdam,Automotive,Schadeherstelbedrijf,HIGH,Grote keten,New
Möller Autoschade Kleinpolder,010-4151344,Rotterdam,Automotive,Schadeherstelbedrijf,HIGH,Grote keten,New
Möller Autoschade Spaanse Polder,010-4155444,Rotterdam,Automotive,Schadeherstelbedrijf,HIGH,Grote keten,New
FixEasy Rotterdam,010-2072400,Rotterdam,Automotive,Schadeherstelbedrijf,HIGH,Onderdeel Möller,New
Hoogenboom Schadeherstel Rotterdam,010-4105680,Rotterdam,Automotive,Schadeherstelbedrijf,HIGH,Grote speler regio,New
Hoogenboom Schadeherstel Spijkenisse,0181-650675,Spijkenisse,Automotive,Schadeherstelbedrijf,HIGH,,New
Dick's Autoschade Schiedam,010-4266644,Schiedam,Automotive,Schadeherstelbedrijf,HIGH,,New
Dick's Autoschade Vlaardingen,010-4342525,Vlaardingen,Automotive,Schadeherstelbedrijf,HIGH,,New
A.A.S. Schadeherstel Rotterdam,010-4760700,Rotterdam,Automotive,Schadeherstelbedrijf,HIGH,,New
Fons Autoschade,070-3910615,Den Haag,Automotive,Schadeherstelbedrijf,HIGH,,New
Helm Garage Den Haag,070-3460315,Den Haag,Automotive,Schadeherstelbedrijf,HIGH,,New
Den Elzen Autoschadeherstellers,070-3638181,Den Haag,Automotive,Schadeherstelbedrijf,HIGH,Sinds 1976,New
Splinter Schadeherstel,020-6312735,Amsterdam,Automotive,Schadeherstelbedrijf,HIGH,60+ jaar Tesla Mazda specialist,New
Van Mossel Autoschade Amsterdam,020-6107580,Amsterdam,Automotive,Schadeherstelbedrijf,HIGH,Grote keten,New
Vakgarage Autoweerd,030-3031600,Utrecht,Automotive,Schadeherstelbedrijf,HIGH,Centrum Utrecht,New
Ayvens Nederland,088-0026100,Diemen,Leasing,Leasemaatschappij,HIGH,#1 NL 349.000 contracten,New
Volkswagen Pon Financial Services,033-4549540,Amersfoort,Leasing,Leasemaatschappij,HIGH,#2 NL 221.700 contracten,New
Athlon Nederland,076-5725000,Almere,Leasing,Leasemaatschappij,HIGH,#4 NL 127.500 contracten,New
Alphabet Nederland,076-5114000,Breda,Leasing,Leasemaatschappij,HIGH,BMW groep 122.000 contracten,New
Hiltermann Lease,030-2219000,De Meern,Leasing,Leasemaatschappij,HIGH,#6 NL 117.000 contracten,New
